Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
T._zygis,A,-1.1975192469928484,-1.1975192469928484,1,3,-1,restoration,2025-01-17 17:12:163
U._sp,A,-4.543827306944194,-4.543827306944194,1,3,-1,restoration,2025-01-17 17:12:163
L._subulatum,A,-3.1438659405773275,-3.1438659405773275,1,3,-1,restoration,2025-01-17 17:12:163
Other_species,A,-2.3374941186657376,-2.3374941186657376,1,3,-1,restoration,2025-01-17 17:12:163
H._squamatum,A,-2.9805934309547943,-2.9805934309547943,1,3,-1,natural,2025-01-17 17:12:163
H._syriacum,A,-3.735960223996636,-3.735960223996636,1,3,-1,natural,2025-01-17 17:12:163
T._zygis,A,-4.061044894987418,-4.061044894987418,1,3,-1,natural,2025-01-17 17:12:163
U._sp,A,-5.052516994248501,-5.052516994248501,1,3,-1,natural,2025-01-17 17:12:163
L._subulatum,A,-4.749749540098651,-4.749749540098651,1,3,-1,natural,2025-01-17 17:12:163
Other_species,A,-3.5852257194829504,-3.5852257194829504,1,3,-1,natural,2025-01-17 17:12:163
H._squamatum,A,-3.536816883872971,-3.536816883872971,1,3,-1,restoration,2025-01-17 17:12:133
H._syriacum,A,-2.6075225351530387,-2.6075225351530387,1,3,-1,restoration,2025-01-17 17:12:133
T._zygis,A,-1.3688432775710213,-1.3688432775710213,1,3,-1,restoration,2025-01-17 17:12:133
U._sp,A,-4.913550453734622,-4.913550453734622,1,3,-1,restoration,2025-01-17 17:12:133
L._subulatum,A,-3.801210966869223,-3.801210966869223,1,3,-1,restoration,2025-01-17 17:12:133
Other_species,A,-2.8712266437811516,-2.8712266437811516,1,3,-1,restoration,2025-01-17 17:12:133
H._squamatum,A,-2.917080780495225,-2.917080780495225,1,3,-1,natural,2025-01-17 17:12:133
H._syriacum,A,-3.7054504643647292,-3.7054504643647292,1,3,-1,natural,2025-01-17 17:12:133
T._zygis,A,-3.7689675168879404,-3.7689675168879404,1,3,-1,natural,2025-01-17 17:12:133
U._sp,A,-4.83832431819076,-4.83832431819076,1,3,-1,natural,2025-01-17 17:12:133
L._subulatum,A,-4.620299842599245,-4.620299842599245,1,3,-1,natural,2025-01-17 17:12:133
Other_species,A,-3.249065399772706,-3.249065399772706,1,3,-1,natural,2025-01-17 17:12:133
H._squamatum,A,-3.452349727683737,-3.452349727683737,1,3,-1,restoration,2025-01-17 17:12:113
H._syriacum,A,-2.6740046663609562,-2.6740046663609562,1,3,-1,restoration,2025-01-17 17:12:113
T._zygis,A,-1.4508999529206636,-1.4508999529206636,1,3,-1,restoration,2025-01-17 17:12:113
U._sp,A,-4.61073129899566,-4.61073129899566,1,3,-1,restoration,2025-01-17 17:12:113
L._subulatum,A,-4.287157879122173,-4.287157879122173,1,3,-1,restoration,2025-01-17 17:12:113
Other_species,A,-2.912721080274283,-2.912721080274283,1,3,-1,restoration,2025-01-17 17:12:113
H._squamatum,A,-3.0314243761477844,-3.0314243761477844,1,3,-1,natural,2025-01-17 17:12:113
H._syriacum,A,-3.676465811932501,-3.676465811932501,1,3,-1,natural,2025-01-17 17:12:113
T._zygis,A,-3.735214292431296,-3.735214292431296,1,3,-1,natural,2025-01-17 17:12:113
U._sp,A,-4.585820969180505,-4.585820969180505,1,3,-1,natural,2025-01-17 17:12:113
L._subulatum,A,-4.738876849085739,-4.738876849085739,1,3,-1,natural,2025-01-17 17:12:113
Other_species,A,-3.606467622746995,-3.606467622746995,1,3,-1,natural,2025-01-17 17:12:113
H._squamatum,A,-3.427131749570269,-3.427131749570269,1,3,-1,restoration,2025-01-17 17:12:073
H._syriacum,A,-2.925830769850264,-2.925830769850264,1,3,-1,restoration,2025-01-17 17:12:073
T._zygis,A,-1.3898323104305625,-1.3898323104305625,1,3,-1,restoration,2025-01-17 17:12:073
U._sp,A,-4.6997600468432275,-4.6997600468432275,1,3,-1,restoration,2025-01-17 17:12:073
L._subulatum,A,-3.5635626070919364,-3.5635626070919364,1,3,-1,restoration,2025-01-17 17:12:073
Other_species,A,-2.7061837500416064,-2.7061837500416064,1,3,-1,restoration,2025-01-17 17:12:073
H._squamatum,A,-2.441033212223335,-2.441033212223335,1,3,-1,natural,2025-01-17 17:12:073
H._syriacum,A,-3.516712460561273,-3.516712460561273,1,3,-1,natural,2025-01-17 17:12:073
T._zygis,A,-3.5136929369807404,-3.5136929369807404,1,3,-1,natural,2025-01-17 17:12:073
U._sp,A,-4.642725370401737,-4.642725370401737,1,3,-1,natural,2025-01-17 17:12:073
L._subulatum,A,-4.875434637434062,-4.875434637434062,1,3,-1,natural,2025-01-17 17:12:073
Other_species,A,-3.3592477672685095,-3.3592477672685095,1,3,-1,natural,2025-01-17 17:12:073
H._squamatum,A,-3.6200644031829343,-3.6200644031829343,1,3,-1,restoration,2025-01-17 17:12:043
H._syriacum,A,-3.1552103507780047,-3.1552103507780047,1,3,-1,restoration,2025-01-17 17:12:043
T._zygis,A,-2.1717516464117335,-2.1717516464117335,1,3,-1,restoration,2025-01-17 17:12:043
U._sp,A,-5.280186037893719,-5.280186037893719,1,3,-1,restoration,2025-01-17 17:12:043
L._subulatum,A,-4.5334310287080335,-4.5334310287080335,1,3,-1,restoration,2025-01-17 17:12:043
Other_species,A,-3.591272975337726,-3.591272975337726,1,3,-1,restoration,2025-01-17 17:12:043
H._squamatum,A,-2.9032194260780786,-2.9032194260780786,1,3,-1,natural,2025-01-17 17:12:043
H._syriacum,A,-3.732561099329735,-3.732561099329735,1,3,-1,natural,2025-01-17 17:12:043
T._zygis,A,-3.9091292715188395,-3.9091292715188395,1,3,-1,natural,2025-01-17 17:12:043
U._sp,A,-5.215289880933461,-5.215289880933461,1,3,-1,natural,2025-01-17 17:12:043
L._subulatum,A,-4.627208580174025,-4.627208580174025,1,3,-1,natural,2025-01-17 17:12:043
Other_species,A,-3.4153640520308897,-3.4153640520308897,1,3,-1,natural,2025-01-17 17:12:043
H._squamatum,A,-3.899201219662889,-3.899201219662889,1,3,-1,restoration,2025-01-17 17:12:013
H._syriacum,A,-2.73580799717757,-2.73580799717757,1,3,-1,restoration,2025-01-17 17:12:013
T._zygis,A,-1.4726732032853593,-1.4726732032853593,1,3,-1,restoration,2025-01-17 17:12:013
U._sp,A,-3.9347273427674425,-3.9347273427674425,1,3,-1,restoration,2025-01-17 17:12:013
