Var1,Var2,Var3,value,min_species_for_fit,order,frac,data_type,tag
H._syriacum,U._sp,L._subulatum,-0.3064293069166606,1,3,-1,restoration,2025-01-17 17:12:263
H._syriacum,U._sp,Other_species,-0.08662426849987769,1,3,-1,restoration,2025-01-17 17:12:263
H._syriacum,L._subulatum,Other_species,-0.46815195554919137,1,3,-1,restoration,2025-01-17 17:12:263
T._zygis,U._sp,L._subulatum,0.4704965101305642,1,3,-1,restoration,2025-01-17 17:12:263
T._zygis,U._sp,Other_species,-0.4259407847196169,1,3,-1,restoration,2025-01-17 17:12:263
T._zygis,L._subulatum,Other_species,-0.16781334668685202,1,3,-1,restoration,2025-01-17 17:12:263
U._sp,L._subulatum,Other_species,-1.3783840422583908,1,3,-1,restoration,2025-01-17 17:12:263
H._squamatum,H._syriacum,T._zygis,-0.5473269171703746,1,3,-1,natural,2025-01-17 17:12:263
H._squamatum,H._syriacum,U._sp,-0.32486036349934827,1,3,-1,natural,2025-01-17 17:12:263
H._squamatum,H._syriacum,L._subulatum,0.30189739257927606,1,3,-1,natural,2025-01-17 17:12:263
H._squamatum,H._syriacum,Other_species,0.6892614710711067,1,3,-1,natural,2025-01-17 17:12:263
H._squamatum,T._zygis,U._sp,-0.6051613565462719,1,3,-1,natural,2025-01-17 17:12:263
H._squamatum,T._zygis,L._subulatum,-0.6126640951341832,1,3,-1,natural,2025-01-17 17:12:263
H._squamatum,T._zygis,Other_species,-0.09769501758859911,1,3,-1,natural,2025-01-17 17:12:263
H._squamatum,U._sp,L._subulatum,-0.7864818690739687,1,3,-1,natural,2025-01-17 17:12:263
H._squamatum,U._sp,Other_species,-0.38097933310077553,1,3,-1,natural,2025-01-17 17:12:263
H._squamatum,L._subulatum,Other_species,-0.14917649049712944,1,3,-1,natural,2025-01-17 17:12:263
H._syriacum,T._zygis,U._sp,-0.47744314444961095,1,3,-1,natural,2025-01-17 17:12:263
H._syriacum,T._zygis,L._subulatum,-0.2651057150613458,1,3,-1,natural,2025-01-17 17:12:263
H._syriacum,T._zygis,Other_species,-0.4380221865214755,1,3,-1,natural,2025-01-17 17:12:263
H._syriacum,U._sp,L._subulatum,0.04879297917747629,1,3,-1,natural,2025-01-17 17:12:263
H._syriacum,U._sp,Other_species,-0.2276779366573807,1,3,-1,natural,2025-01-17 17:12:263
H._syriacum,L._subulatum,Other_species,-0.15889690426401193,1,3,-1,natural,2025-01-17 17:12:263
T._zygis,U._sp,L._subulatum,-0.056293270165420906,1,3,-1,natural,2025-01-17 17:12:263
T._zygis,U._sp,Other_species,-0.39721923439140855,1,3,-1,natural,2025-01-17 17:12:263
T._zygis,L._subulatum,Other_species,-0.8643719212516817,1,3,-1,natural,2025-01-17 17:12:263
U._sp,L._subulatum,Other_species,-0.7696995753714101,1,3,-1,natural,2025-01-17 17:12:263
H._squamatum,H._syriacum,T._zygis,-0.2786671633065679,1,3,-1,restoration,2025-01-17 17:12:233
H._squamatum,H._syriacum,U._sp,0.8466281354665176,1,3,-1,restoration,2025-01-17 17:12:233
H._squamatum,H._syriacum,L._subulatum,-0.5043146631526066,1,3,-1,restoration,2025-01-17 17:12:233
H._squamatum,H._syriacum,Other_species,-0.5415474449670622,1,3,-1,restoration,2025-01-17 17:12:233
H._squamatum,T._zygis,U._sp,-0.2806043302434041,1,3,-1,restoration,2025-01-17 17:12:233
H._squamatum,T._zygis,L._subulatum,-0.24126075542889805,1,3,-1,restoration,2025-01-17 17:12:233
H._squamatum,T._zygis,Other_species,0.22714929130287242,1,3,-1,restoration,2025-01-17 17:12:233
H._squamatum,U._sp,L._subulatum,2.0346010947453017,1,3,-1,restoration,2025-01-17 17:12:233
H._squamatum,U._sp,Other_species,-0.19156873948567907,1,3,-1,restoration,2025-01-17 17:12:233
H._squamatum,L._subulatum,Other_species,-0.8776269743329362,1,3,-1,restoration,2025-01-17 17:12:233
H._syriacum,T._zygis,U._sp,0.766124209356934,1,3,-1,restoration,2025-01-17 17:12:233
H._syriacum,T._zygis,L._subulatum,0.21386555140811056,1,3,-1,restoration,2025-01-17 17:12:233
H._syriacum,T._zygis,Other_species,-1.0103640356708723,1,3,-1,restoration,2025-01-17 17:12:233
H._syriacum,U._sp,L._subulatum,-1.8701926242533722,1,3,-1,restoration,2025-01-17 17:12:233
H._syriacum,U._sp,Other_species,0.11740792677626338,1,3,-1,restoration,2025-01-17 17:12:233
H._syriacum,L._subulatum,Other_species,-0.5350596086335534,1,3,-1,restoration,2025-01-17 17:12:233
T._zygis,U._sp,L._subulatum,1.2424164929245862,1,3,-1,restoration,2025-01-17 17:12:233
T._zygis,U._sp,Other_species,-0.5867495354110339,1,3,-1,restoration,2025-01-17 17:12:233
T._zygis,L._subulatum,Other_species,0.22547799155538098,1,3,-1,restoration,2025-01-17 17:12:233
U._sp,L._subulatum,Other_species,-1.9233131717716965,1,3,-1,restoration,2025-01-17 17:12:233
H._squamatum,H._syriacum,T._zygis,-0.5472029453699577,1,3,-1,natural,2025-01-17 17:12:233
H._squamatum,H._syriacum,U._sp,-0.406087136796122,1,3,-1,natural,2025-01-17 17:12:233
H._squamatum,H._syriacum,L._subulatum,0.11851705244808158,1,3,-1,natural,2025-01-17 17:12:233
H._squamatum,H._syriacum,Other_species,0.8998055600322977,1,3,-1,natural,2025-01-17 17:12:233
H._squamatum,T._zygis,U._sp,-0.29623983174934626,1,3,-1,natural,2025-01-17 17:12:233
