Date,Time,Zone,Capparis_spinosa,Cardus_sp,Coris_monspeliensis,Dipcadi_serotinum,Dittrichia_viscosa,Eryngium_campestre,Fumana_thymifolia,Helianthemum_hirtum,Helianthemum_squamatum,Helianthemum_syriacum,Lepidium_subulatum,Medicago_truncatula,Moricandia_moricandioides,Ononis_tridentata,Parentucelia_sp,Plantago_albicans,Pilosella_sp,Piptatherum_miliaceum,Reseda_stricta,Rosmarinus_officinalis,Sanguisorba_verrucosa,Stipa_tenacissima,Teucrium_capitatum,Thesium_humifisum,Thymus_zygis,Ulex_sp.,D1,D2,h,patch
11/8/23,09:11:00,Restauración,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,36,24,P-37
11/8/23,09:11:05,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,19,14,P-38
11/8/23,09:11:59,Restauración,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,76,80,83,P-39
11/8/23,09:12:10,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,12,15,P-40
11/8/23,09:12:31,Restauración,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52,52,30,P-41
11/8/23,09:13:03,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,97,80,73,P-42
11/8/23,09:13:28,Restauración,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,81,36,33,P-43
11/8/23,09:13:52,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,34,25,P-44
11/8/23,09:14:13,Restauración,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,20,34,P-45
11/8/23,09:14:27,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,7,P-46
11/8/23,09:14:35,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,25,14,P-47
11/8/23,09:14:46,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,28,31,P-48
11/8/23,09:14:57,Restauración,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,14,24,P-49
11/8/23,09:15:07,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,27,24,P-50
