Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
Other_species,A,-3.1509527954787955,-3.1509527954787955,1,3,-1,restoration,2025-01-09 18:44:093
H._squamatum,A,-2.935585397248628,-2.935585397248628,1,3,-1,natural,2025-01-09 18:44:093
H._syriacum,A,-3.623597355140117,-3.623597355140117,1,3,-1,natural,2025-01-09 18:44:093
T._zygis,A,-3.5285172763074186,-3.5285172763074186,1,3,-1,natural,2025-01-09 18:44:093
U._sp,A,-4.819428507401024,-4.819428507401024,1,3,-1,natural,2025-01-09 18:44:093
L._subulatum,A,-4.507625181878638,-4.507625181878638,1,3,-1,natural,2025-01-09 18:44:093
O._tridentata,A,-5.8646976658864185,-5.8646976658864185,1,3,-1,natural,2025-01-09 18:44:093
Other_species,A,-3.6024903821119496,-3.6024903821119496,1,3,-1,natural,2025-01-09 18:44:093
H._squamatum,A,-3.2299414503883717,-3.2299414503883717,1,3,-1,restoration,2025-01-09 18:44:063
H._syriacum,A,-2.62589959494122,-2.62589959494122,1,3,-1,restoration,2025-01-09 18:44:063
T._zygis,A,-1.278225719552545,-1.278225719552545,1,3,-1,restoration,2025-01-09 18:44:063
U._sp,A,-4.249378829045148,-4.249378829045148,1,3,-1,restoration,2025-01-09 18:44:063
L._subulatum,A,-3.6978951662639568,-3.6978951662639568,1,3,-1,restoration,2025-01-09 18:44:063
O._tridentata,A,-4.389953838120948,-4.389953838120948,1,3,-1,restoration,2025-01-09 18:44:063
Other_species,A,-2.619059756899771,-2.619059756899771,1,3,-1,restoration,2025-01-09 18:44:063
H._squamatum,A,-2.9345439770053874,-2.9345439770053874,1,3,-1,natural,2025-01-09 18:44:063
H._syriacum,A,-3.8108283532453484,-3.8108283532453484,1,3,-1,natural,2025-01-09 18:44:063
T._zygis,A,-3.790252897864507,-3.790252897864507,1,3,-1,natural,2025-01-09 18:44:063
U._sp,A,-4.894484241356534,-4.894484241356534,1,3,-1,natural,2025-01-09 18:44:063
L._subulatum,A,-5.3588756910237505,-5.3588756910237505,1,3,-1,natural,2025-01-09 18:44:063
O._tridentata,A,-5.783037138475951,-5.783037138475951,1,3,-1,natural,2025-01-09 18:44:063
Other_species,A,-3.579294043962005,-3.579294043962005,1,3,-1,natural,2025-01-09 18:44:063
H._squamatum,A,-3.1834685725557197,-3.1834685725557197,1,3,-1,restoration,2025-01-09 18:44:023
H._syriacum,A,-2.8129244966459583,-2.8129244966459583,1,3,-1,restoration,2025-01-09 18:44:023
T._zygis,A,-1.1633831668236523,-1.1633831668236523,1,3,-1,restoration,2025-01-09 18:44:023
U._sp,A,-4.289099502564139,-4.289099502564139,1,3,-1,restoration,2025-01-09 18:44:023
L._subulatum,A,-3.692606405330216,-3.692606405330216,1,3,-1,restoration,2025-01-09 18:44:023
O._tridentata,A,-4.762689581903285,-4.762689581903285,1,3,-1,restoration,2025-01-09 18:44:023
Other_species,A,-2.9117322498747273,-2.9117322498747273,1,3,-1,restoration,2025-01-09 18:44:023
H._squamatum,A,-2.794837094396178,-2.794837094396178,1,3,-1,natural,2025-01-09 18:44:023
H._syriacum,A,-3.435142139754465,-3.435142139754465,1,3,-1,natural,2025-01-09 18:44:023
T._zygis,A,-3.5216366406056676,-3.5216366406056676,1,3,-1,natural,2025-01-09 18:44:023
U._sp,A,-4.787768920150563,-4.787768920150563,1,3,-1,natural,2025-01-09 18:44:023
L._subulatum,A,-5.112879064909856,-5.112879064909856,1,3,-1,natural,2025-01-09 18:44:023
O._tridentata,A,-6.1069134854468565,-6.1069134854468565,1,3,-1,natural,2025-01-09 18:44:023
Other_species,A,-3.1619533949497267,-3.1619533949497267,1,3,-1,natural,2025-01-09 18:44:023
H._squamatum,A,-4.084204880348262,-4.084204880348262,1,3,-1,restoration,2025-01-09 18:43:583
H._syriacum,A,-2.312296194042336,-2.312296194042336,1,3,-1,restoration,2025-01-09 18:43:583
T._zygis,A,-1.2000458746247784,-1.2000458746247784,1,3,-1,restoration,2025-01-09 18:43:583
U._sp,A,-4.2825647739917,-4.2825647739917,1,3,-1,restoration,2025-01-09 18:43:583
L._subulatum,A,-3.653595437489979,-3.653595437489979,1,3,-1,restoration,2025-01-09 18:43:583
O._tridentata,A,-4.200926689710122,-4.200926689710122,1,3,-1,restoration,2025-01-09 18:43:583
Other_species,A,-2.67603535679161,-2.67603535679161,1,3,-1,restoration,2025-01-09 18:43:583
