Var1,Var2,Var3,value,min_species_for_fit,order,frac,data_type,tag
H._squamatum,H._syriacum,P._albicans,-0.4095219802573087,1,3,-1,natural,2025-01-17 19:38:173
H._squamatum,H._syriacum,Other_species,0.6613490519699016,1,3,-1,natural,2025-01-17 19:38:173
H._squamatum,T._zygis,U._sp,-0.6024357018741152,1,3,-1,natural,2025-01-17 19:38:173
H._squamatum,T._zygis,L._subulatum,-0.6138165830484756,1,3,-1,natural,2025-01-17 19:38:173
H._squamatum,T._zygis,O._tridentata,-0.8761498127709545,1,3,-1,natural,2025-01-17 19:38:173
H._squamatum,T._zygis,P._albicans,-1.5987847516810747,1,3,-1,natural,2025-01-17 19:38:173
H._squamatum,T._zygis,Other_species,-0.059024670686844784,1,3,-1,natural,2025-01-17 19:38:173
H._squamatum,U._sp,L._subulatum,0.032732348069654034,1,3,-1,natural,2025-01-17 19:38:173
H._squamatum,U._sp,O._tridentata,-1.1414689990110292,1,3,-1,natural,2025-01-17 19:38:173
H._squamatum,U._sp,P._albicans,1.0978567655766371,1,3,-1,natural,2025-01-17 19:38:173
H._squamatum,U._sp,Other_species,-0.21330220719872975,1,3,-1,natural,2025-01-17 19:38:173
H._squamatum,L._subulatum,O._tridentata,1.068077713587747,1,3,-1,natural,2025-01-17 19:38:173
H._squamatum,L._subulatum,P._albicans,0.4866394199910283,1,3,-1,natural,2025-01-17 19:38:173
H._squamatum,L._subulatum,Other_species,-0.28544169745468095,1,3,-1,natural,2025-01-17 19:38:173
H._squamatum,O._tridentata,P._albicans,-0.8257586449398158,1,3,-1,natural,2025-01-17 19:38:173
H._squamatum,O._tridentata,Other_species,-0.09625781248297262,1,3,-1,natural,2025-01-17 19:38:173
H._squamatum,P._albicans,Other_species,0.8180454998995508,1,3,-1,natural,2025-01-17 19:38:173
H._syriacum,T._zygis,U._sp,-0.6386999467952036,1,3,-1,natural,2025-01-17 19:38:173
H._syriacum,T._zygis,L._subulatum,-0.01967462506815925,1,3,-1,natural,2025-01-17 19:38:173
H._syriacum,T._zygis,O._tridentata,-0.17522122491395328,1,3,-1,natural,2025-01-17 19:38:173
H._syriacum,T._zygis,P._albicans,-0.45480440119187465,1,3,-1,natural,2025-01-17 19:38:173
H._syriacum,T._zygis,Other_species,-0.4900608589722922,1,3,-1,natural,2025-01-17 19:38:173
H._syriacum,U._sp,L._subulatum,-0.8051386562427388,1,3,-1,natural,2025-01-17 19:38:173
H._syriacum,U._sp,O._tridentata,-0.13791722080164429,1,3,-1,natural,2025-01-17 19:38:173
H._syriacum,U._sp,P._albicans,0.010482920939044163,1,3,-1,natural,2025-01-17 19:38:173
H._syriacum,U._sp,Other_species,-0.33497620405308987,1,3,-1,natural,2025-01-17 19:38:173
H._syriacum,L._subulatum,O._tridentata,0.3554934448991593,1,3,-1,natural,2025-01-17 19:38:173
H._syriacum,L._subulatum,P._albicans,1.0324897095513415,1,3,-1,natural,2025-01-17 19:38:173
H._syriacum,L._subulatum,Other_species,-0.1131147932729154,1,3,-1,natural,2025-01-17 19:38:173
H._syriacum,O._tridentata,P._albicans,-0.9482845000342023,1,3,-1,natural,2025-01-17 19:38:173
H._syriacum,O._tridentata,Other_species,-1.083135645847389,1,3,-1,natural,2025-01-17 19:38:173
H._syriacum,P._albicans,Other_species,-0.10817577731257162,1,3,-1,natural,2025-01-17 19:38:173
T._zygis,U._sp,L._subulatum,-0.5467074171693271,1,3,-1,natural,2025-01-17 19:38:173
T._zygis,U._sp,O._tridentata,-0.856549293557607,1,3,-1,natural,2025-01-17 19:38:173
T._zygis,U._sp,P._albicans,0.6895072778995534,1,3,-1,natural,2025-01-17 19:38:173
T._zygis,U._sp,Other_species,-0.5514695120711632,1,3,-1,natural,2025-01-17 19:38:173
T._zygis,L._subulatum,O._tridentata,0.9548536857739355,1,3,-1,natural,2025-01-17 19:38:173
T._zygis,L._subulatum,P._albicans,-0.09229958791388142,1,3,-1,natural,2025-01-17 19:38:173
T._zygis,L._subulatum,Other_species,-0.49207791492521324,1,3,-1,natural,2025-01-17 19:38:173
T._zygis,O._tridentata,P._albicans,-0.11917005598588366,1,3,-1,natural,2025-01-17 19:38:173
T._zygis,O._tridentata,Other_species,-0.5064576615375558,1,3,-1,natural,2025-01-17 19:38:173
T._zygis,P._albicans,Other_species,0.2764694058827091,1,3,-1,natural,2025-01-17 19:38:173
U._sp,L._subulatum,O._tridentata,-0.8294494183787778,1,3,-1,natural,2025-01-17 19:38:173
U._sp,L._subulatum,P._albicans,-0.987423285101043,1,3,-1,natural,2025-01-17 19:38:173
U._sp,L._subulatum,Other_species,-0.496535492309013,1,3,-1,natural,2025-01-17 19:38:173
U._sp,O._tridentata,P._albicans,0.748787773763062,1,3,-1,natural,2025-01-17 19:38:173
U._sp,O._tridentata,Other_species,-1.1132295437976814,1,3,-1,natural,2025-01-17 19:38:173
U._sp,P._albicans,Other_species,-0.7121593937208228,1,3,-1,natural,2025-01-17 19:38:173
L._subulatum,O._tridentata,P._albicans,-2.493155160306193,1,3,-1,natural,2025-01-17 19:38:173
L._subulatum,O._tridentata,Other_species,-1.1508434366528035,1,3,-1,natural,2025-01-17 19:38:173
L._subulatum,P._albicans,Other_species,0.014587022293862995,1,3,-1,natural,2025-01-17 19:38:173
O._tridentata,P._albicans,Other_species,-2.1068781123196128,1,3,-1,natural,2025-01-17 19:38:173
H._squamatum,H._syriacum,T._zygis,-0.17476332519613227,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,H._syriacum,U._sp,0.4797885199427294,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,H._syriacum,L._subulatum,-0.5475259847633611,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,H._syriacum,O._tridentata,-0.4567981591762129,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,H._syriacum,P._albicans,-0.2677775258513094,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,H._syriacum,Other_species,0.15478431147653793,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,T._zygis,U._sp,-1.1384516214274978,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,T._zygis,L._subulatum,-0.38943012288833506,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,T._zygis,O._tridentata,3.1898119866206365,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,T._zygis,P._albicans,-0.5752680025265863,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,T._zygis,Other_species,0.6461099176259207,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,U._sp,L._subulatum,0.9126668837294861,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,U._sp,O._tridentata,3.3749118234469275,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,U._sp,P._albicans,-0.0021448976475465275,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,U._sp,Other_species,-0.48946297997429483,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,L._subulatum,O._tridentata,-0.3895274258033055,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,L._subulatum,P._albicans,-0.40658716422622554,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,L._subulatum,Other_species,-0.8753948036910307,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,O._tridentata,P._albicans,-0.0072164414412477255,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,O._tridentata,Other_species,1.0713953922121797,1,3,-1,restoration,2025-01-17 19:38:103
H._squamatum,P._albicans,Other_species,-0.21679179063885998,1,3,-1,restoration,2025-01-17 19:38:103
H._syriacum,T._zygis,U._sp,0.3681657033005082,1,3,-1,restoration,2025-01-17 19:38:103
H._syriacum,T._zygis,L._subulatum,0.7543692190997469,1,3,-1,restoration,2025-01-17 19:38:103
H._syriacum,T._zygis,O._tridentata,-0.2920458743261767,1,3,-1,restoration,2025-01-17 19:38:103
H._syriacum,T._zygis,P._albicans,0.058794253763309566,1,3,-1,restoration,2025-01-17 19:38:103
H._syriacum,T._zygis,Other_species,-0.6657565348193635,1,3,-1,restoration,2025-01-17 19:38:103
H._syriacum,U._sp,L._subulatum,-0.7195197011906083,1,3,-1,restoration,2025-01-17 19:38:103
H._syriacum,U._sp,O._tridentata,-0.36344617758567893,1,3,-1,restoration,2025-01-17 19:38:103
H._syriacum,U._sp,P._albicans,-0.19763179454012647,1,3,-1,restoration,2025-01-17 19:38:103
H._syriacum,U._sp,Other_species,-0.21177302221714667,1,3,-1,restoration,2025-01-17 19:38:103
H._syriacum,L._subulatum,O._tridentata,0.02048266138719801,1,3,-1,restoration,2025-01-17 19:38:103
H._syriacum,L._subulatum,P._albicans,-0.7700135132450332,1,3,-1,restoration,2025-01-17 19:38:103
H._syriacum,L._subulatum,Other_species,-0.551102863899512,1,3,-1,restoration,2025-01-17 19:38:103
H._syriacum,O._tridentata,P._albicans,3.0235826729508406,1,3,-1,restoration,2025-01-17 19:38:103
H._syriacum,O._tridentata,Other_species,0.6126136396967811,1,3,-1,restoration,2025-01-17 19:38:103
H._syriacum,P._albicans,Other_species,-0.48022243609021453,1,3,-1,restoration,2025-01-17 19:38:103
T._zygis,U._sp,L._subulatum,0.6368950634988377,1,3,-1,restoration,2025-01-17 19:38:103
T._zygis,U._sp,O._tridentata,-1.3595040630572717,1,3,-1,restoration,2025-01-17 19:38:103
T._zygis,U._sp,P._albicans,-0.8379044434317816,1,3,-1,restoration,2025-01-17 19:38:103
T._zygis,U._sp,Other_species,-0.061004776802200456,1,3,-1,restoration,2025-01-17 19:38:103
T._zygis,L._subulatum,O._tridentata,-0.6458585570665064,1,3,-1,restoration,2025-01-17 19:38:103
T._zygis,L._subulatum,P._albicans,-0.7741389701163411,1,3,-1,restoration,2025-01-17 19:38:103
T._zygis,L._subulatum,Other_species,-0.27252069655895744,1,3,-1,restoration,2025-01-17 19:38:103
