Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
P._albicans,A,-5.785814326629357,-5.785814326629357,1,3,-1,natural,2025-01-17 19:37:573
Other_species,A,-3.3356430040902336,-3.3356430040902336,1,3,-1,natural,2025-01-17 19:37:573
H._squamatum,A,-3.6193125001525406,-3.6193125001525406,1,3,-1,restoration,2025-01-17 19:37:503
H._syriacum,A,-3.0102982370502045,-3.0102982370502045,1,3,-1,restoration,2025-01-17 19:37:503
T._zygis,A,-1.4831007334466821,-1.4831007334466821,1,3,-1,restoration,2025-01-17 19:37:503
U._sp,A,-4.140040696282662,-4.140040696282662,1,3,-1,restoration,2025-01-17 19:37:503
L._subulatum,A,-3.9546504724887495,-3.9546504724887495,1,3,-1,restoration,2025-01-17 19:37:503
O._tridentata,A,-5.490038134971719,-5.490038134971719,1,3,-1,restoration,2025-01-17 19:37:503
P._albicans,A,-6.656215429202013,-6.656215429202013,1,3,-1,restoration,2025-01-17 19:37:503
Other_species,A,-3.4074510047427333,-3.4074510047427333,1,3,-1,restoration,2025-01-17 19:37:503
H._squamatum,A,-2.78197098392184,-2.78197098392184,1,3,-1,natural,2025-01-17 19:37:503
H._syriacum,A,-3.6770028395815353,-3.6770028395815353,1,3,-1,natural,2025-01-17 19:37:503
T._zygis,A,-3.7640063548449403,-3.7640063548449403,1,3,-1,natural,2025-01-17 19:37:503
U._sp,A,-4.905652884732853,-4.905652884732853,1,3,-1,natural,2025-01-17 19:37:503
L._subulatum,A,-4.637521309106066,-4.637521309106066,1,3,-1,natural,2025-01-17 19:37:503
O._tridentata,A,-5.697703602995431,-5.697703602995431,1,3,-1,natural,2025-01-17 19:37:503
P._albicans,A,-6.334959050556452,-6.334959050556452,1,3,-1,natural,2025-01-17 19:37:503
Other_species,A,-3.8920703136242265,-3.8920703136242265,1,3,-1,natural,2025-01-17 19:37:503
H._squamatum,A,-4.042864122585997,-4.042864122585997,1,3,-1,restoration,2025-01-17 19:37:433
H._syriacum,A,-2.6367889805371743,-2.6367889805371743,1,3,-1,restoration,2025-01-17 19:37:433
T._zygis,A,-1.4374131759882096,-1.4374131759882096,1,3,-1,restoration,2025-01-17 19:37:433
U._sp,A,-4.831163804129631,-4.831163804129631,1,3,-1,restoration,2025-01-17 19:37:433
L._subulatum,A,-3.156255377885121,-3.156255377885121,1,3,-1,restoration,2025-01-17 19:37:433
O._tridentata,A,-5.2597400146038735,-5.2597400146038735,1,3,-1,restoration,2025-01-17 19:37:433
P._albicans,A,-4.303192934983513,-4.303192934983513,1,3,-1,restoration,2025-01-17 19:37:433
Other_species,A,-2.9899733004248215,-2.9899733004248215,1,3,-1,restoration,2025-01-17 19:37:433
H._squamatum,A,-2.8600603696328655,-2.8600603696328655,1,3,-1,natural,2025-01-17 19:37:433
H._syriacum,A,-3.6242101115220953,-3.6242101115220953,1,3,-1,natural,2025-01-17 19:37:433
