Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
H._squamatum,A,-2.1514467335829495,-2.1514467335829495,1,3,-1,natural,2025-01-08 12:25:263
S._viscosa,A,-3.4444469838858303,-3.4444469838858303,1,3,-1,natural,2025-01-08 12:25:263
C._hispanica,A,-3.0833767342951077,-3.0833767342951077,1,3,-1,natural,2025-01-08 12:25:263
G._struthium,A,-4.324520397970405,-4.324520397970405,1,3,-1,natural,2025-01-08 12:25:263
Other_species,A,-0.9643791866711049,-0.9643791866711049,1,3,-1,natural,2025-01-08 12:25:263
Nurse_S._viscosa,A,-2.6556493633137785,-2.6556493633137785,1,2,-1,restoration,2025-01-08 12:25:243
Nurse_G._struthium,A,-2.069317619299414,-2.069317619299414,1,2,-1,restoration,2025-01-08 12:25:243
H._squamatum,A,-4.572544549125218,-4.572544549125218,1,2,-1,restoration,2025-01-08 12:25:243
S._viscosa,A,-4.184173470466754,-4.184173470466754,1,2,-1,restoration,2025-01-08 12:25:243
C._hispanica,A,-7.8161843945159974,-7.8161843945159974,1,2,-1,restoration,2025-01-08 12:25:243
G._struthium,A,-1.3628222856261931,-1.3628222856261931,1,2,-1,restoration,2025-01-08 12:25:243
Other_species,A,-2.411915246767445,-2.411915246767445,1,2,-1,restoration,2025-01-08 12:25:243
Nurse_S._viscosa,A,-2.794074269430898,-2.794074269430898,1,3,-1,restoration,2025-01-08 12:25:243
Nurse_G._struthium,A,-1.2523054598582106,-1.2523054598582106,1,3,-1,restoration,2025-01-08 12:25:243
H._squamatum,A,-5.4032056955469585,-5.4032056955469585,1,3,-1,restoration,2025-01-08 12:25:243
S._viscosa,A,-3.5766479619434426,-3.5766479619434426,1,3,-1,restoration,2025-01-08 12:25:243
C._hispanica,A,-5.471782318748419,-5.471782318748419,1,3,-1,restoration,2025-01-08 12:25:243
G._struthium,A,-1.2629532621357151,-1.2629532621357151,1,3,-1,restoration,2025-01-08 12:25:243
Other_species,A,-1.8057271496584126,-1.8057271496584126,1,3,-1,restoration,2025-01-08 12:25:243
Nurse_S._viscosa,A,-0.7564195027776713,-0.7564195027776713,1,2,-1,natural,2025-01-08 12:25:243
Nurse_G._struthium,A,-2.800599957003142,-2.800599957003142,1,2,-1,natural,2025-01-08 12:25:243
H._squamatum,A,-1.811091194340655,-1.811091194340655,1,2,-1,natural,2025-01-08 12:25:243
S._viscosa,A,-2.5706055708153186,-2.5706055708153186,1,2,-1,natural,2025-01-08 12:25:243
C._hispanica,A,-2.350709876621641,-2.350709876621641,1,2,-1,natural,2025-01-08 12:25:243
G._struthium,A,-3.857319949442588,-3.857319949442588,1,2,-1,natural,2025-01-08 12:25:243
Other_species,A,-0.42260024570625127,-0.42260024570625127,1,2,-1,natural,2025-01-08 12:25:243
Nurse_S._viscosa,A,-2.062223428770759,-2.062223428770759,1,3,-1,natural,2025-01-08 12:25:243
Nurse_G._struthium,A,-3.674792162688796,-3.674792162688796,1,3,-1,natural,2025-01-08 12:25:243
H._squamatum,A,-2.219666765429801,-2.219666765429801,1,3,-1,natural,2025-01-08 12:25:243
S._viscosa,A,-3.250735493908397,-3.250735493908397,1,3,-1,natural,2025-01-08 12:25:243
C._hispanica,A,-4.058756449911973,-4.058756449911973,1,3,-1,natural,2025-01-08 12:25:243
G._struthium,A,-3.2140559961111235,-3.2140559961111235,1,3,-1,natural,2025-01-08 12:25:243
Other_species,A,-1.3484649837818128,-1.3484649837818128,1,3,-1,natural,2025-01-08 12:25:243
Nurse_S._viscosa,A,-2.175937421291415,-2.175937421291415,1,2,-1,restoration,2025-01-08 12:25:223
Nurse_G._struthium,A,-1.6312894068727446,-1.6312894068727446,1,2,-1,restoration,2025-01-08 12:25:223
H._squamatum,A,-4.421575035702167,-4.421575035702167,1,2,-1,restoration,2025-01-08 12:25:223
S._viscosa,A,-5.701898043145231,-5.701898043145231,1,2,-1,restoration,2025-01-08 12:25:223
C._hispanica,A,-5.281920578114434,-5.281920578114434,1,2,-1,restoration,2025-01-08 12:25:223
G._struthium,A,-0.5541214933849102,-0.5541214933849102,1,2,-1,restoration,2025-01-08 12:25:223
Other_species,A,-2.4267462296544497,-2.4267462296544497,1,2,-1,restoration,2025-01-08 12:25:223
Nurse_S._viscosa,A,-1.880930758335893,-1.880930758335893,1,3,-1,restoration,2025-01-08 12:25:223
Nurse_G._struthium,A,-1.8384167652655536,-1.8384167652655536,1,3,-1,restoration,2025-01-08 12:25:223
H._squamatum,A,-6.269197132020011,-6.269197132020011,1,3,-1,restoration,2025-01-08 12:25:223
S._viscosa,A,-3.3291123992065996,-3.3291123992065996,1,3,-1,restoration,2025-01-08 12:25:223
C._hispanica,A,-5.07892993537211,-5.07892993537211,1,3,-1,restoration,2025-01-08 12:25:223
G._struthium,A,-0.8563380484278619,-0.8563380484278619,1,3,-1,restoration,2025-01-08 12:25:223
Other_species,A,-1.7158266313308401,-1.7158266313308401,1,3,-1,restoration,2025-01-08 12:25:223
Nurse_S._viscosa,A,-1.08391103098262,-1.08391103098262,1,2,-1,natural,2025-01-08 12:25:223
Nurse_G._struthium,A,-2.8900219128144475,-2.8900219128144475,1,2,-1,natural,2025-01-08 12:25:223
H._squamatum,A,-1.8387426154860396,-1.8387426154860396,1,2,-1,natural,2025-01-08 12:25:223
S._viscosa,A,-2.5859268896765433,-2.5859268896765433,1,2,-1,natural,2025-01-08 12:25:223
C._hispanica,A,-2.688605170048145,-2.688605170048145,1,2,-1,natural,2025-01-08 12:25:223
G._struthium,A,-4.579684245231869,-4.579684245231869,1,2,-1,natural,2025-01-08 12:25:223
Other_species,A,-0.8537028817708955,-0.8537028817708955,1,2,-1,natural,2025-01-08 12:25:223
Nurse_S._viscosa,A,-2.2352833208431124,-2.2352833208431124,1,3,-1,natural,2025-01-08 12:25:223
Nurse_G._struthium,A,-3.0534467253729223,-3.0534467253729223,1,3,-1,natural,2025-01-08 12:25:223
H._squamatum,A,-2.2529129030759507,-2.2529129030759507,1,3,-1,natural,2025-01-08 12:25:223
S._viscosa,A,-3.8500744674306144,-3.8500744674306144,1,3,-1,natural,2025-01-08 12:25:223
C._hispanica,A,-3.392173949765718,-3.392173949765718,1,3,-1,natural,2025-01-08 12:25:223
G._struthium,A,-3.96055361981476,-3.96055361981476,1,3,-1,natural,2025-01-08 12:25:223
Other_species,A,-1.6338317586859432,-1.6338317586859432,1,3,-1,natural,2025-01-08 12:25:223
Nurse_S._viscosa,A,-3.053418406463224,-3.053418406463224,1,2,-1,restoration,2025-01-08 12:25:203
Nurse_G._struthium,A,-1.8074894921625362,-1.8074894921625362,1,2,-1,restoration,2025-01-08 12:25:203
H._squamatum,A,-3.56787522350388,-3.56787522350388,1,2,-1,restoration,2025-01-08 12:25:203
S._viscosa,A,-4.342204816977376,-4.342204816977376,1,2,-1,restoration,2025-01-08 12:25:203
